0: Alard | Imperial Family & Court | ⚔️ 반란 귀족 및 기타 기사 (Revolting Barons & Knights) | Count Aymon’s second son. Though he is not as strong and val
226: Prasildo | Foreigners | 🐫 페르시아 & 바빌론 (Persians) | Roland’s friend, and Iroldo’s chivalrous companion.
227: Abbio and Wibrecht | Foreigners | 🌲 작센 & 프리시아 (Saxons & Frisians) | Widukind’s sons, who are forcibly baptized in their father’s
228: Brun | Foreigners | 🌲 작센 & 프리시아 (Saxons & Frisians) | The chief of the Angarians.
229: Cimosco | Foreigners | 🌲 작센 & 프리시아 (Saxons & Frisians) | The chief of the Frisians.
230: Dyalas | Foreigners | 🌲 작센 & 프리시아 (Saxons & Frisians) | Widukind’s third son is a chivalric knight who denies his Sa
231: Hessi | Foreigners | 🌲 작센 & 프리시아 (Saxons & Frisians) | The Eastphalian leader, who submits to Charlemagne in 775.
232: Widukind | Foreigners | 🌲 작센 & 프리시아 (Saxons & Frisians) | His name means “child of the forest.” Widukind is the uncont
233: Dragovit | Foreigners | 🌲 슬라브 (Slavs) | Prince of the Wilzi.
234: Godelaid | Foreigners | 🌲 슬라브 (Slavs) | Prince, son of Thrasico.
235: Lecho | Foreigners | 🌲 슬라브 (Slavs) | Prince of the Czechs.
236: Miliduoch | Foreigners | 🌲 슬라브 (Slavs) | Prince of the Serbs.
237: Thrasico | Foreigners | 🌲 슬라브 (Slavs) | The last independent King of the Slavs. k iNgs  of  a sturia
238: Fruela the Cruel | Foreigners | ⛪ 비시고트 & 아스투리아스 (Visigoths & Asturias) | King of Asturias until his assassination (757–768).
239: Aurelio | Foreigners | ⛪ 비시고트 & 아스투리아스 (Visigoths & Asturias) | A good-hearted and generous king (768–774) who gains the thr
240: Silo | Foreigners | ⛪ 비시고트 & 아스투리아스 (Visigoths & Asturias) | An ambitious king (774–783) and a subtle diplomat.
241: Mauregato the Usurper | Foreigners | ⛪ 비시고트 & 아스투리아스 (Visigoths & Asturias) | King of Asturias (783–789). He is the evil, scheming, bastar
242: Bermudo the Deacon | Foreigners | ⛪ 비시고트 & 아스투리아스 (Visigoths & Asturias) | A merciful and pious king (789– 791), who abdicates and reti
243: Alphonso II the Chaste | Foreigners | ⛪ 비시고트 & 아스투리아스 (Visigoths & Asturias) | An enlightened king (791–813), reputed to be chaste, generou
244: Hugo the Orphan | Foreigners | ⛪ 비시고트 & 아스투리아스 (Visigoths & Asturias) | Raymond of St. Giles’ only son marries Alphonso’s heiress So
245: Beato of Liebana | Foreigners | ⛪ 비시고트 & 아스투리아스 (Visigoths & Asturias) | A learned monk at the Asturian court; strongly opposed to Ad
246: Benedict of Aniane | Foreigners | ⛪ 비시고트 & 아스투리아스 (Visigoths & Asturias) | See Academicians.
247: Bera | Foreigners | ⛪ 비시고트 & 아스투리아스 (Visigoths & Asturias) | The loyal and valorous Count of Carcassonne is made Count of
248: Hamon of Galicia | Foreigners | ⛪ 비시고트 & 아스투리아스 (Visigoths & Asturias) | See Paladins.
249: Isabella of Galicia | Foreigners | ⛪ 비시고트 & 아스투리아스 (Visigoths & Asturias) | Duke Hamon’s romantic daughter, in love with Prince Zerbin o
250: Raymond | Foreigners | ⛪ 비시고트 & 아스투리아스 (Visigoths & Asturias) | Duke of Navarra (779–803).
